id;project;scenario_id;iteration;host;job_id;run_time;fireorig;fireorigname;heat_detectors;smoke_detectors;hrrpeak;soot_yield;co_yield;hcl_yield;hcn_yield;alpha;trace;max_area;fireload;heigh;heat_of_combustion;rad_frac;w;outdoor_temp;door;dcloser;delectr;vnt;vvent;sprinklers;detection;wcbe;dcbe_time;dcbe_compa;fed;fed_symbolic;min_hgt_compa;min_hgt_cor;min_vis_compa;min_vis_cor;max_temp;tot_heat;status;animation;anim_params;modified;results;rescue_params
10;1;1;10;ASUS-TUF-F15;20240320-ynYGV6ff;11;room;r1;60.83,63.31;21.45,23.74;1482;0.024640000000000006;0.017200000000000003;0;0.0;0.11440081358479957;0;80;1424;0;25000.0;0.309;0;10.14;1,1;0;0;;0;[60.7, 0.0001100992],[59.71, 8.94794e-05];40;"{""0"": 227}";1000;;[0.0001778791320710029, 0.00013277694638228632, 0.00016174004747772377, 0.0001385697260260036, 0.00018581836578598237, 0.0001633381817403244, 0.00016689892618426347, 0.0001590656313249177, 0.00017970457532427806, 0.00017350627833944993, 0.00018145769888809285, 0.000140350876796975, 0.0001261062953563382, 0.0001243343940396357, 0.00014484884481396444, 8.440418569626454e-05, 0.00014691520679854466, 0.0001709652344278902, 0.00018304706062180888, 0.00036384162280232106, 0.000682744575803549, 0.0011810348410249895];"[""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N""]";0.811965;1.08073;3.7080133233053143;4.6915541643804675;89.0076;123848297.65;0;"{""sort_id"": 10, ""title"": ""sim.10"", ""time"": ""18:31 20.03"", ""srv"": 0, ""fire_origin"": {""floor"": ""0"", ""x"": 797, ""y"": 1530}, ""highlight_geom"": null, ""anim"": ""10/1_1_10_anim.zip""}";;2024-03-20 19:31:18.948967;"{""individual"": 3.637375140688115e-13, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 8.002225309513853e-12, ""sri"": 9.202559105940931e-11}";"{""Type"": ""phone call"", ""Observation"": ""219.6"", ""Pre Phone Call"": ""20.4"", ""Phone Call"": ""138.29"", ""Pre intervention"": ""378.3"", ""Alarm"": ""49.2"", ""Day or night"": ""night"", ""distance"": ""5"", ""Arrival"": ""544.09"", ""Add diagnosis?"": ""False"", ""Diagnosis"": ""0"", ""Intervention"": ""593.3"", ""Total"": ""971"", ""Nozzles times"": ""[30, 60]"", ""Nozzle power"": ""8478.0""}"
1;1;1;1;ASUS-TUF-F15;20240320-8hWOv68i;14;room;r1;50.16,53.17;21.96,21.5;1145;0.09214285714285714;0.10114285714285715;0;0.0;0.06636087152089229;0;80;259;0;44000.0;0.296;0;7.21;0,1;0;0;;0;[58.81, 9.81511e-05],[58.55, 0.0001004322];30;"{""0"": 362}";1000;;[0.00013577039289897134, 0.00014732893806890693, 0.00012181019078953275, 0.00011172365505313447, 0.0001558512651156802, 0.00015359552813763662, 0.00017078096649394164, 0.00010390104904059298, 0.0002473327418337369, 0.00012719162598742457, 0.00027624746442915125, 0.00016140607455833228, 0.00012872911114965283, 0.00012528043042530788, 0.0001655958593779385, 0.00018018940189117546, 0.00018625479563448932, 0.00019421547217332653, 0.00013239698544108728, 0.0001917246288725023, 0.0012419230889100263, 0.0008762315849661738];"[""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N""]";0.1;3.49961;1.4788751830639508;0;89.2803;124061220.2;0;"{""sort_id"": 1, ""title"": ""sim.1"", ""time"": ""18:29 20.03"", ""srv"": 0, ""fire_origin"": {""floor"": ""0"", ""x"": 797, ""y"": 1530}, ""highlight_geom"": null, ""anim"": ""1/1_1_1_anim.zip""}";"{""fire"": [""HRR_E1"", ""HRR""], ""r1"": [""HGT"", ""ULCO2"", ""ULCO"", ""ULOD""], ""c2"": [""HGT""]}";2024-03-20 21:04:00.180487;"{""individual"": 5.471649671727637e-13, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 1.2037629277800802e-11, ""sri"": 1.384327366947092e-10}";"{""Type"": ""phone call"", ""Observation"": ""64.8"", ""Pre Phone Call"": ""31.8"", ""Phone Call"": ""126.55"", ""Pre intervention"": ""223.1"", ""Alarm"": ""62.39"", ""Day or night"": ""night"", ""distance"": ""5"", ""Arrival"": ""611.12"", ""Add diagnosis?"": ""False"", ""Diagnosis"": ""0"", ""Intervention"": ""673.5"", ""Total"": ""896"", ""Nozzles times"": ""[30, 60]"", ""Nozzle power"": ""8478.0""}"
2;1;1;2;ASUS-TUF-F15;20240320-OlUniBAV;11;room;r1;55.97,54.68;0,21.89;1482;0.0672;0.041280000000000004;0;0.0;0.11581291213650688;0;80;854;0;44000.0;0.249;0;13.84;1,1;0;0;;0;[62.71, 0.0001021316],[60.82, 0.0001087168];40;"{""0"": 173}";1000;;[0.0002250995037228702, 0.00023344461637468455, 0.0002755901224373175, 0.00023009415845088034, 0.00018356025431298821, 0.00018819993298116545, 0.00019055542731026177, 0.00021167228611286868, 0.0002731375969169322, 0.0001930712534676428, 0.0001309462696125222, 0.00017547767114504202, 0.0002083671128665807, 0.00019517914147633504, 0.00016604539683406466, 0.00023669392026369698, 0.00023927713829545135, 0.00017312586310175938, 0.00028673775474405693, 0.0002225900754082722, 0.0006020593522268915, 0.0006630785608068272];"[""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N""]";0.518224;0.920011;2.1353671823126428;2.498043922319402;95.3651;161617419.15;0;"{""sort_id"": 2, ""title"": ""sim.2"", ""time"": ""18:29 20.03"", ""srv"": 0, ""fire_origin"": {""floor"": ""0"", ""x"": 797, ""y"": 1530}, ""highlight_geom"": null, ""anim"": ""2/1_1_2_anim.zip""}";;2024-03-20 19:29:31.132479;"{""individual"": 8.484228363402521e-15, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 1.8665302399485547e-13, ""sri"": 2.1465097759408378e-12}";"{""Type"": ""phone call"", ""Observation"": ""24.0"", ""Pre Phone Call"": ""189.0"", ""Phone Call"": ""356.68"", ""Pre intervention"": ""569.7"", ""Alarm"": ""44.12"", ""Day or night"": ""day"", ""distance"": ""5"", ""Arrival"": ""622.62"", ""Add diagnosis?"": ""True"", ""Diagnosis"": ""900"", ""Intervention"": ""1566.7"", ""Total"": ""2136"", ""Nozzles times"": ""[30, 60]"", ""Nozzle power"": ""8478.0""}"
3;1;1;3;ASUS-TUF-F15;20240320-aC7C1T60;14;room;r1;55.4,56.78;23.39,21.42;1145;0.02308196721311475;0.012950819672131148;0;0.0;0.013137288883960069;0;80;426;0;25000.0;0.289;0;20.38;0,0;0;0;;0;[61.41, 8.60696e-05],[56.57, 8.3869e-05];90;"{""0"": 369}";1000;;[0.00020604944250720078, 0.0002619928849490042, 0.00026967516337984604, 0.0001420176071130593, 0.00020928806432056747, 0.0002303275501600114, 0.00023357817998425403, 0.0003025494545204966, 0.0002980757070854371, 0.00023955209487388566, 0.00014441883306595048, 0.0001526762181252942, 0.00033332493921716603, 0.0004520467151962146, 0.0002510465274841088, 0.0002478547351309316, 0.0003723401512481903, 0.0003049342960184381, 0.0003519248839900282, 0.0002948839049939878, 0.0017380206538451701, 0.0020102729496388715];"[""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N""]";0.1;3.49959;2.7461400984220043;0;75.0119;103520025.5;0;"{""sort_id"": 3, ""title"": ""sim.3"", ""time"": ""18:29 20.03"", ""srv"": 0, ""fire_origin"": {""floor"": ""0"", ""x"": 797, ""y"": 1530}, ""highlight_geom"": null, ""anim"": ""3/1_1_3_anim.zip""}";;2024-03-20 19:29:46.185303;"{""individual"": 1.681871469346671e-11, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 3.700117232562676e-10, ""sri"": 4.255134817447077e-09}";"{""Type"": ""phone call"", ""Observation"": ""202.8"", ""Pre Phone Call"": ""40.2"", ""Phone Call"": ""157.09"", ""Pre intervention"": ""400.1"", ""Alarm"": ""77.77"", ""Day or night"": ""day"", ""distance"": ""5"", ""Arrival"": ""689.97"", ""Add diagnosis?"": ""False"", ""Diagnosis"": ""0"", ""Intervention"": ""767.7"", ""Total"": ""1167"", ""Nozzles times"": ""[30, 60]"", ""Nozzle power"": ""8478.0""}"
4;1;1;4;ASUS-TUF-F15;20240320-jJu5MjK6;11;room;r1;72.98,58.87;21.87,23.11;1482;0.06405714285714285;0.03634285714285714;0;0.0;0.05633784771024902;0;80;1140;0;43000.0;0.296;0;10.31;1,0;0;0;;0;[58.6, 9.25878e-05],[65.31, 0.0001021936];40;"{""0"": 207}";1000;;[0.00011443276368538677, 0.00019446918735374342, 7.40942671658277e-05, 0.00018682782410115863, 0.00019738438048770004, 0.00017606523818200078, 0.00019032829012300987, 0.00016492061608118562, 0.0001923006114182319, 0.00023942360622998638, 0.00021850264203310602, 0.00010619536052146734, 0.00014886384497671493, 0.00018416893137464268, 0.00018176779405591303, 0.00018879735257000153, 0.00017413830031543951, 0.00014203738308231155, 0.00011735174892156286, 0.00013105211740442016, 0.0006946457008976134, 0.0006529253980890331];"[""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N""]";0.1;0.1;2.2936631588844527;2.7927016846742516;83.6024;126052716.44999999;0;"{""sort_id"": 4, ""title"": ""sim.4"", ""time"": ""18:29 20.03"", ""srv"": 0, ""fire_origin"": {""floor"": ""0"", ""x"": 797, ""y"": 1530}, ""highlight_geom"": null, ""anim"": ""4/1_1_4_anim.zip""}";;2024-03-20 19:29:57.962007;"{""individual"": 1.3123482859257025e-14, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 2.8871662290365455e-13, ""sri"": 3.3202411633920273e-12}";"{""Type"": ""phone call"", ""Observation"": ""1396.8"", ""Pre Phone Call"": ""10.8"", ""Phone Call"": ""97.22"", ""Pre intervention"": ""1504.8"", ""Alarm"": ""94.56"", ""Day or night"": ""night"", ""distance"": ""5"", ""Arrival"": ""419.51"", ""Add diagnosis?"": ""False"", ""Diagnosis"": ""0"", ""Intervention"": ""514.1"", ""Total"": ""2018"", ""Nozzles times"": ""[30, 60]"", ""Nozzle power"": ""8478.0""}"
5;1;1;5;ASUS-TUF-F15;20240320-ngT0cVI9;14;room;r1;57.06,71.42;0,21.17;1482;0.022985074626865665;0.012686567164179104;0;0.0;0.014222618435975803;0;80;1752;0;25000.0;0.276;0;7.09;1,1;0;0;;0;[56.81, 7.98774e-05],[60.24, 9.65971e-05];100;"{""0"": 324}";1000;;[0.0001345680918434509, 0.0001431733464858754, 0.0001625020914942798, 0.00018294138571472654, 0.0001813252970937214, 0.00011923174820679086, 0.00016472363085392002, 0.0001546512296606333, 0.00015979312544484996, 0.00013761968453271094, 0.0001789459911885213, 0.00011590746588738592, 0.0001932091063719331, 0.00026228309895844944, 0.00011779620332642438, 0.00016600040061474426, 0.00012180096281909034, 0.00013600223046016685, 0.00012897086685101003, 0.00016887496225114195, 0.0012586203227430768, 0.0012194122938262299];"[""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N""]";1.02899;1.19125;4.715135509602596;5.825581081487189;67.1035;99872525.5;0;"{""sort_id"": 5, ""title"": ""sim.5"", ""time"": ""18:30 20.03"", ""srv"": 0, ""fire_origin"": {""floor"": ""0"", ""x"": 797, ""y"": 1530}, ""highlight_geom"": null, ""anim"": ""5/1_1_5_anim.zip""}";;2024-03-20 19:30:12.295029;"{""individual"": 9.95689337398013e-13, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 2.1905165422756287e-11, ""sri"": 2.519094023616973e-10}";"{""Type"": ""phone call"", ""Observation"": ""682.8"", ""Pre Phone Call"": ""11.4"", ""Phone Call"": ""161.59"", ""Pre intervention"": ""855.8"", ""Alarm"": ""86.39"", ""Day or night"": ""day"", ""distance"": ""5"", ""Arrival"": ""451.05"", ""Add diagnosis?"": ""False"", ""Diagnosis"": ""0"", ""Intervention"": ""537.4"", ""Total"": ""1393"", ""Nozzles times"": ""[30, 60]"", ""Nozzle power"": ""8478.0""}"
6;1;1;6;ASUS-TUF-F15;20240320-YhYsZbIq;14;room;r1;54.63,59.37;20.69,21.59;1145;0.02324528301886792;0.01339622641509434;0;0.0;0.01754483948762775;0;80;721;0;25000.0;0.256;0;12.28;0,1;0;0;;0;[58.59, 0.0001251362],[61.59, 9.8183e-05];70;"{""0"": 360}";1000;;[0.0001626812796899523, 0.00018648119009230966, 0.00013055933941695335, 0.0001596989384288389, 0.00014131719548711607, 0.00019681953274922588, 0.0002097855492229755, 0.0002825723381710782, 0.00015644788631230349, 0.00021774556890511918, 0.00014489953104971807, 0.00020758214966118334, 0.000167453206530773, 0.00014967643052411894, 0.00017972865095701085, 0.00016479988959889916, 0.0002454112308397299, 0.00017396815994659615, 0.00010944621030365594, 0.00015226646056340926, 0.00013788631564251496, 0.001372458945089298];"[""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N""]";0.1;3.49962;4.790023617588662;0;70.1585;59409897.66;0;"{""sort_id"": 6, ""title"": ""sim.6"", ""time"": ""18:30 20.03"", ""srv"": 0, ""fire_origin"": {""floor"": ""0"", ""x"": 797, ""y"": 1530}, ""highlight_geom"": null, ""anim"": ""6/1_1_6_anim.zip""}";;2024-03-20 19:30:27.376197;"{""individual"": 9.91895842866165e-13, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 2.1821708543055632e-11, ""sri"": 2.509496482451398e-10}";"{""Type"": ""phone call"", ""Observation"": ""115.8"", ""Pre Phone Call"": ""7.2"", ""Phone Call"": ""156.66"", ""Pre intervention"": ""279.7"", ""Alarm"": ""51.16"", ""Day or night"": ""day"", ""distance"": ""5"", ""Arrival"": ""653.98"", ""Add diagnosis?"": ""True"", ""Diagnosis"": ""600"", ""Intervention"": ""1305.1"", ""Total"": ""1584"", ""Nozzles times"": ""[30, 60]"", ""Nozzle power"": ""8478.0""}"
7;1;1;7;ASUS-TUF-F15;20240320-NgudYYJg;13;room;r1;59.27,70.13;16.96,23.41;1145;0.14932142857142855;0.07028571428571428;0;0.0;0.04218200435580699;0;80;1915;0;28000.0;0.285;0;5.08;0,1;0;0;;0;[55.51, 0.0001088613],0;20;"{""0"": 315}";1000;;[0.00013339574650348917, 0.00012354699999282497, 9.851607274808725e-05, 8.239076970800822e-05, 0.00023588010515305713, 0.00010931618960276132, 0.0001512146811406435, 0.00013056603028401546, 0.00011885236008730534, 0.00016622825505870623, 0.00016949294423001954, 7.097611213545925e-05, 0.00018777043393955839, 0.00011699685906890487, 9.428505860002703e-05, 0.00012216061366897947, 0.00012872971637559332, 0.00016822791828299135, 0.00011086194145714696, 0.00013650402621168188, 0.0008531073931045272, 0.0009673521515893146];"[""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N""]";0.1;3.49959;0.7296249758450811;0;75.0909;84961330.5;0;"{""sort_id"": 7, ""title"": ""sim.7"", ""time"": ""18:30 20.03"", ""srv"": 0, ""fire_origin"": {""floor"": ""0"", ""x"": 797, ""y"": 1530}, ""highlight_geom"": null, ""anim"": ""7/1_1_7_anim.zip""}";;2024-03-20 19:30:41.191571;"{""individual"": 1.2459855751545645e-13, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 2.7411682653400418e-12, ""sri"": 3.152343505141048e-11}";"{""Type"": ""phone call"", ""Observation"": ""109.8"", ""Pre Phone Call"": ""70.2"", ""Phone Call"": ""159.54"", ""Pre intervention"": ""339.5"", ""Alarm"": ""93.24"", ""Day or night"": ""day"", ""distance"": ""5"", ""Arrival"": ""386.41"", ""Add diagnosis?"": ""True"", ""Diagnosis"": ""120"", ""Intervention"": ""599.7"", ""Total"": ""939"", ""Nozzles times"": ""[30, 60]"", ""Nozzle power"": ""8478.0""}"
8;1;1;8;ASUS-TUF-F15;20240320-CJIwaTyd;13;room;r1;72.86,62.73;23.83,19.54;1145;0.02184782608695652;0.014956521739130438;0;0.854608695652174;0.04670490024714308;0;80;347;0;17000.0;0.332;0;-4.28;0,1;0;0;;0;[59.28, 8.89087e-05],[60.02, 9.99405e-05];50;"{""0"": 332}";1000;;[0.00011201387300656422, 9.26835473130832e-05, 8.799246111529136e-05, 7.196439547592676e-05, 7.901076916894393e-05, 9.40975027367269e-05, 8.596457807406756e-05, 0.0001100957071721777, 0.00012155818349958248, 0.00014563021222516436, 5.769254940703993e-05, 6.653437029313721e-05, 0.0001201242434477539, 7.81973910241201e-05, 0.00013391178813717633, 0.0001554323268340317, 0.0001054086785508163, 0.0001184092558771464, 8.116712959668799e-05, 0.0001254763223127439, 0.0007210829669032134, 0.000827004982820847];"[""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N""]";0.1;3.49957;1.9786568224532437;0;87.401;143310629.0;0;"{""sort_id"": 8, ""title"": ""sim.8"", ""time"": ""18:30 20.03"", ""srv"": 0, ""fire_origin"": {""floor"": ""0"", ""x"": 797, ""y"": 1530}, ""highlight_geom"": null, ""anim"": ""8/1_1_8_anim.zip""}";;2024-03-20 19:30:55.510903;"{""individual"": 3.942893402189308e-14, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 8.674365484816477e-13, ""sri"": 9.97552030753895e-12}";"{""Type"": ""phone call"", ""Observation"": ""59.4"", ""Pre Phone Call"": ""30.6"", ""Phone Call"": ""369.58"", ""Pre intervention"": ""459.6"", ""Alarm"": ""57.6"", ""Day or night"": ""day"", ""distance"": ""5"", ""Arrival"": ""386.57"", ""Add diagnosis?"": ""False"", ""Diagnosis"": ""0"", ""Intervention"": ""444.2"", ""Total"": ""903"", ""Nozzles times"": ""[30, 60]"", ""Nozzle power"": ""8478.0""}"
9;1;1;9;ASUS-TUF-F15;20240320-PRYkVXfW;10;room;r1;56.45,63.87;22.32,21.66;1482;0.12359375;0.037500000000000006;0;0.0;0.06806987217187492;0;80;288;0;28000.0;0.277;0;18.14;1,1;0;0;;0;[59.37, 7.64431e-05],[55.56, 8.21631e-05];20;"{""0"": 179}";1000;;[0.0001883369898849414, 0.00027768340204676576, 0.0002996272896654464, 0.00035413400477179974, 0.00021391221877248162, 0.0002918906944371691, 0.0001761351629253546, 0.00024071036045993536, 0.00029548333783336716, 0.00021691109460299655, 0.0001401006990145632, 0.0002332608111608351, 0.0001925584403474481, 0.00023090354740506425, 0.00023777955383865186, 0.00019667533276040172, 0.00038970812437304886, 0.0002446120619930987, 0.00044228757952231135, 0.0002478500804073857, 0.0008587375390857577, 0.0008848981410363121];"[""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N"", ""N""]";0.764518;0.764518;0.6283006740195224;0.6991829988102326;84.7848;192579673.0;0;"{""sort_id"": 9, ""title"": ""sim.9"", ""time"": ""18:31 20.03"", ""srv"": 0, ""fire_origin"": {""floor"": ""0"", ""x"": 797, ""y"": 1530}, ""highlight_geom"": null, ""anim"": ""9/1_1_9_anim.zip""}";;2024-03-20 19:31:06.757728;"{""individual"": 8.519982991531019e-14, ""pdf_fn"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""fn_curve"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""societal"": 0.0, ""awr"": 1.8743962581368243e-12, ""sri"": 2.1555556968573478e-11}";"{""Type"": ""phone call"", ""Observation"": ""11.4"", ""Pre Phone Call"": ""322.8"", ""Phone Call"": ""108.49"", ""Pre intervention"": ""442.7"", ""Alarm"": ""88.62"", ""Day or night"": ""day"", ""distance"": ""5"", ""Arrival"": ""599.64"", ""Add diagnosis?"": ""False"", ""Diagnosis"": ""0"", ""Intervention"": ""688.3"", ""Total"": ""1131"", ""Nozzles times"": ""[30, 60]"", ""Nozzle power"": ""8478.0""}"
